date,nasdaq
2012-01-03,2648.72
2012-01-04,2648.36
2012-01-05,2669.86
2012-01-06,2674.22
2012-01-09,2676.56
2012-01-10,2702.50
2012-01-11,2710.76
2012-01-12,2724.70
2012-01-13,2710.67
2012-01-16,.
2012-01-17,2728.08
2012-01-18,2769.71
2012-01-19,2788.33
2012-01-20,2786.70
2012-01-23,2784.17
2012-01-24,2786.64
2012-01-25,2818.31
2012-01-26,2805.28
2012-01-27,2816.55
2012-01-30,2811.94
2012-01-31,2813.84
2012-02-01,2848.27
2012-02-02,2859.68
2012-02-03,2905.66
2012-02-06,2901.99
2012-02-07,2904.08
2012-02-08,2915.86
2012-02-09,2927.23
2012-02-10,2903.88
2012-02-13,2931.39
2012-02-14,2931.83
2012-02-15,2915.83
2012-02-16,2959.85
2012-02-17,2951.78
2012-02-20,.
2012-02-21,2948.57
2012-02-22,2933.17
2012-02-23,2956.98
2012-02-24,2963.75
2012-02-27,2966.16
2012-02-28,2986.76
2012-02-29,2966.89
2012-03-01,2988.97
2012-03-02,2976.19
2012-03-05,2950.48
2012-03-06,2910.32
2012-03-07,2935.69
2012-03-08,2970.42
2012-03-09,2988.34
2012-03-12,2983.66
2012-03-13,3039.88
2012-03-14,3040.73
2012-03-15,3056.37
2012-03-16,3055.26
2012-03-19,3078.32
2012-03-20,3074.15
2012-03-21,3075.32
2012-03-22,3063.32
2012-03-23,3067.92
2012-03-26,3122.57
2012-03-27,3120.35
2012-03-28,3104.96
2012-03-29,3095.36
2012-03-30,3091.57
2012-04-02,3119.70
2012-04-03,3113.57
2012-04-04,3068.09
2012-04-05,3080.50
2012-04-06,.
2012-04-09,3047.08
2012-04-10,2991.22
2012-04-11,3016.46
2012-04-12,3055.55
2012-04-13,3011.33
2012-04-16,2988.40
2012-04-17,3042.82
2012-04-18,3031.45
2012-04-19,3007.56
2012-04-20,3000.45
2012-04-23,2970.45
2012-04-24,2961.60
2012-04-25,3029.63
2012-04-26,3050.61
2012-04-27,3069.20
2012-04-30,3046.36
2012-05-01,3050.44
2012-05-02,3059.85
2012-05-03,3024.30
2012-05-04,2956.34
2012-05-07,2957.76
2012-05-08,2946.27
2012-05-09,2934.71
2012-05-10,2933.64
2012-05-11,2933.82
2012-05-14,2902.58
2012-05-15,2893.76
2012-05-16,2874.04
2012-05-17,2813.69
2012-05-18,2778.79
2012-05-21,2847.21
2012-05-22,2839.08
2012-05-23,2850.12
2012-05-24,2839.38
2012-05-25,2837.53
2012-05-28,.
2012-05-29,2870.99
2012-05-30,2837.36
2012-05-31,2827.34
2012-06-01,2747.48
2012-06-04,2760.01
2012-06-05,2778.11
2012-06-06,2844.72
2012-06-07,2831.02
2012-06-08,2858.42
2012-06-11,2809.73
2012-06-12,2843.07
2012-06-13,2818.61
2012-06-14,2836.33
2012-06-15,2872.80
2012-06-18,2895.33
2012-06-19,2929.76
2012-06-20,2930.45
2012-06-21,2859.09
2012-06-22,2892.42
2012-06-25,2836.17
2012-06-26,2854.06
2012-06-27,2875.32
2012-06-28,2849.49
2012-06-29,2935.06
2012-07-02,2951.24
2012-07-03,2976.09
2012-07-04,.
2012-07-05,2976.12
2012-07-06,2937.33
2012-07-09,2931.77
2012-07-10,2902.34
2012-07-11,2887.99
2012-07-12,2866.19
2012-07-13,2908.47
2012-07-16,2896.94
2012-07-17,2910.04
2012-07-18,2942.60
2012-07-19,2965.90
2012-07-20,2925.30
2012-07-23,2890.15
2012-07-24,2862.99
2012-07-25,2854.24
2012-07-26,2893.25
2012-07-27,2958.09
2012-07-30,2945.84
2012-07-31,2939.52
2012-08-01,2920.21
2012-08-02,2909.77
2012-08-03,2967.90
2012-08-06,2989.91
2012-08-07,3015.86
2012-08-08,3011.25
2012-08-09,3018.64
2012-08-10,3020.86
2012-08-13,3022.52
2012-08-14,3016.98
2012-08-15,3030.93
2012-08-16,3062.39
2012-08-17,3076.59
2012-08-20,3076.21
2012-08-21,3067.26
2012-08-22,3073.67
2012-08-23,3053.40
2012-08-24,3069.79
2012-08-27,3073.19
2012-08-28,3077.14
2012-08-29,3081.19
2012-08-30,3048.71
2012-08-31,3066.96
2012-09-03,.
2012-09-04,3075.06
2012-09-05,3069.27
2012-09-06,3135.81
2012-09-07,3136.42
2012-09-10,3104.02
2012-09-11,3104.53
2012-09-12,3114.31
2012-09-13,3155.83
2012-09-14,3183.95
2012-09-17,3178.67
2012-09-18,3177.80
2012-09-19,3182.62
2012-09-20,3175.96
2012-09-21,3179.96
2012-09-24,3160.78
2012-09-25,3117.73
2012-09-26,3093.70
2012-09-27,3136.60
2012-09-28,3116.23
2012-10-01,3113.53
2012-10-02,3120.04
2012-10-03,3135.23
2012-10-04,3149.46
2012-10-05,3136.19
2012-10-08,3112.35
2012-10-09,3065.02
2012-10-10,3051.78
2012-10-11,3049.41
2012-10-12,3044.11
2012-10-15,3064.18
2012-10-16,3101.17
2012-10-17,3104.12
2012-10-18,3072.87
2012-10-19,3005.62
2012-10-22,3016.96
2012-10-23,2990.46
2012-10-24,2981.70
2012-10-25,2986.12
2012-10-26,2987.95
2012-10-29,.
2012-10-30,.
2012-10-31,2977.23
2012-11-01,3020.06
2012-11-02,2982.13
2012-11-05,2999.66
2012-11-06,3011.93
2012-11-07,2937.29
2012-11-08,2895.58
2012-11-09,2904.87
2012-11-12,2904.26
2012-11-13,2883.89
2012-11-14,2846.81
2012-11-15,2836.94
2012-11-16,2853.13
2012-11-19,2916.07
2012-11-20,2916.68
2012-11-21,2926.55
2012-11-22,.
2012-11-23,2966.85
2012-11-26,2976.78
2012-11-27,2967.79
2012-11-28,2991.78
2012-11-29,3012.03
2012-11-30,3010.24
2012-12-03,3002.20
2012-12-04,2996.69
2012-12-05,2973.70
2012-12-06,2989.27
2012-12-07,2978.04
2012-12-10,2986.96
2012-12-11,3022.30
2012-12-12,3013.81
2012-12-13,2992.16
2012-12-14,2971.33
2012-12-17,3010.60
2012-12-18,3054.53
2012-12-19,3044.36
2012-12-20,3050.39
2012-12-21,3021.01
2012-12-24,3012.60
2012-12-25,.
2012-12-26,2990.16
2012-12-27,2985.91
2012-12-28,2960.31
2012-12-31,3019.51
2013-01-01,.
2013-01-02,3112.26
2013-01-03,3100.57
2013-01-04,3101.66
2013-01-07,3098.81
2013-01-08,3091.81
2013-01-09,3105.81
2013-01-10,3121.76
2013-01-11,3125.63
2013-01-14,3117.50
2013-01-15,3110.78
2013-01-16,3117.54
2013-01-17,3136.00
2013-01-18,3134.71
2013-01-21,.
2013-01-22,3143.18
2013-01-23,3153.67
2013-01-24,3130.38
2013-01-25,3149.71
2013-01-28,3154.30
2013-01-29,3153.66
2013-01-30,3142.31
2013-01-31,3142.13
2013-02-01,3179.10
2013-02-04,3131.17
2013-02-05,3171.58
2013-02-06,3168.48
2013-02-07,3165.13
2013-02-08,3193.87
2013-02-11,3192.00
2013-02-12,3186.49
2013-02-13,3196.88
2013-02-14,3198.66
2013-02-15,3192.03
2013-02-18,.
2013-02-19,3213.59
2013-02-20,3164.41
2013-02-21,3131.49
2013-02-22,3161.82
2013-02-25,3116.25
2013-02-26,3129.65
2013-02-27,3162.26
2013-02-28,3160.19
2013-03-01,3169.74
2013-03-04,3182.03
2013-03-05,3224.13
2013-03-06,3222.37
2013-03-07,3232.09
2013-03-08,3244.37
2013-03-11,3252.87
2013-03-12,3242.32
2013-03-13,3245.12
2013-03-14,3258.93
2013-03-15,3249.07
2013-03-18,3237.59
2013-03-19,3229.10
2013-03-20,3254.19
2013-03-21,3222.60
2013-03-22,3245.00
2013-03-25,3235.30
2013-03-26,3252.48
2013-03-27,3256.52
2013-03-28,3267.52
2013-03-29,.
2013-04-01,3239.17
2013-04-02,3254.86
2013-04-03,3218.60
2013-04-04,3224.98
2013-04-05,3203.86
2013-04-08,3222.25
2013-04-09,3237.86
2013-04-10,3297.25
2013-04-11,3300.16
2013-04-12,3294.95
2013-04-15,3216.49
2013-04-16,3264.63
2013-04-17,3204.67
2013-04-18,3166.36
2013-04-19,3206.06
2013-04-22,3233.55
2013-04-23,3269.33
2013-04-24,3269.65
2013-04-25,3289.99
2013-04-26,3279.26
2013-04-29,3307.02
2013-04-30,3328.79
2013-05-01,3299.13
2013-05-02,3340.62
2013-05-03,3378.63
2013-05-06,3392.97
2013-05-07,3396.63
2013-05-08,3413.27
2013-05-09,3409.17
2013-05-10,3436.58
2013-05-13,3438.79
2013-05-14,3462.61
2013-05-15,3471.62
2013-05-16,3465.24
2013-05-17,3498.97
2013-05-20,3496.43
2013-05-21,3502.12
2013-05-22,3463.30
2013-05-23,3459.42
2013-05-24,3459.14
2013-05-27,.
2013-05-28,3488.89
2013-05-29,3467.52
2013-05-30,3491.30
2013-05-31,3455.91
2013-06-03,3465.37
2013-06-04,3445.26
2013-06-05,3401.48
2013-06-06,3424.05
2013-06-07,3469.22
2013-06-10,3473.77
2013-06-11,3436.95
2013-06-12,3400.43
2013-06-13,3445.37
2013-06-14,3423.56
2013-06-17,3452.13
2013-06-18,3482.18
2013-06-19,3443.20
2013-06-20,3364.63
2013-06-21,3357.25
2013-06-24,3320.76
2013-06-25,3347.89
2013-06-26,3376.22
2013-06-27,3401.86
2013-06-28,3403.25
2013-07-01,3434.49
2013-07-02,3433.40
2013-07-03,3443.67
2013-07-04,.
2013-07-05,3479.38
2013-07-08,3484.83
2013-07-09,3504.26
2013-07-10,3520.76
2013-07-11,3578.30
2013-07-12,3600.08
2013-07-15,3607.49
2013-07-16,3598.50
2013-07-17,3610.00
2013-07-18,3611.28
2013-07-19,3587.61
2013-07-22,3600.39
2013-07-23,3579.27
2013-07-24,3579.60
2013-07-25,3605.19
2013-07-26,3613.16
2013-07-29,3599.14
2013-07-30,3616.47
2013-07-31,3626.37
2013-08-01,3675.74
2013-08-02,3689.59
2013-08-05,3692.95
2013-08-06,3665.77
2013-08-07,3654.01
2013-08-08,3669.12
2013-08-09,3660.11
2013-08-12,3669.95
2013-08-13,3684.44
2013-08-14,3669.27
2013-08-15,3606.12
2013-08-16,3602.78
2013-08-19,3589.09
2013-08-20,3613.59
2013-08-21,3599.79
2013-08-22,3638.71
2013-08-23,3657.79
2013-08-26,3657.57
2013-08-27,3578.52
2013-08-28,3593.35
2013-08-29,3620.30
2013-08-30,3589.87
2013-09-02,.
2013-09-03,3612.61
2013-09-04,3649.04
2013-09-05,3658.78
2013-09-06,3660.01
2013-09-09,3706.18
2013-09-10,3729.02
2013-09-11,3725.01
2013-09-12,3715.97
2013-09-13,3722.18
2013-09-16,3717.85
2013-09-17,3745.70
2013-09-18,3783.64
2013-09-19,3789.38
2013-09-20,3774.73
2013-09-23,3765.29
2013-09-24,3768.25
2013-09-25,3761.10
2013-09-26,3787.43
2013-09-27,3781.59
2013-09-30,3771.48
2013-10-01,3817.98
2013-10-02,3815.02
2013-10-03,3774.34
2013-10-04,3807.75
2013-10-07,3770.38
2013-10-08,3694.83
2013-10-09,3677.78
2013-10-10,3760.75
2013-10-11,3791.87
2013-10-14,3815.27
2013-10-15,3794.01
2013-10-16,3839.43
2013-10-17,3863.15
2013-10-18,3914.28
2013-10-21,3920.05
2013-10-22,3929.57
2013-10-23,3907.07
2013-10-24,3928.96
2013-10-25,3943.36
2013-10-28,3940.13
2013-10-29,3952.34
2013-10-30,3930.62
2013-10-31,3919.71
2013-11-01,3922.04
2013-11-04,3936.59
2013-11-05,3939.86
2013-11-06,3931.95
2013-11-07,3857.33
2013-11-08,3919.23
2013-11-11,3919.79
2013-11-12,3919.92
2013-11-13,3965.58
2013-11-14,3972.74
2013-11-15,3985.97
2013-11-18,3949.07
2013-11-19,3931.55
2013-11-20,3921.27
2013-11-21,3969.15
2013-11-22,3991.65
2013-11-25,3994.57
2013-11-26,4017.75
2013-11-27,4044.75
2013-11-28,.
2013-11-29,4059.89
2013-12-02,4045.26
2013-12-03,4037.20
2013-12-04,4038.00
2013-12-05,4033.16
2013-12-06,4062.52
2013-12-09,4068.75
2013-12-10,4060.49
2013-12-11,4003.81
2013-12-12,3998.40
2013-12-13,4000.98
2013-12-16,4029.52
2013-12-17,4023.68
2013-12-18,4070.06
2013-12-19,4058.13
2013-12-20,4104.74
2013-12-23,4148.90
2013-12-24,4155.42
2013-12-25,.
2013-12-26,4167.18
2013-12-27,4156.59
2013-12-30,4154.20
2013-12-31,4176.59
2014-01-01,.
2014-01-02,4143.07
2014-01-03,4131.91
2014-01-06,4113.68
2014-01-07,4153.18
2014-01-08,4165.61
2014-01-09,4156.19
2014-01-10,4174.66
2014-01-13,4113.30
2014-01-14,4183.02
2014-01-15,4214.88
2014-01-16,4218.69
2014-01-17,4197.58
2014-01-20,.
2014-01-21,4225.76
2014-01-22,4243.00
2014-01-23,4218.87
2014-01-24,4128.17
2014-01-27,4083.61
2014-01-28,4097.96
2014-01-29,4051.43
2014-01-30,4123.13
2014-01-31,4103.88
2014-02-03,3996.96
2014-02-04,4031.52
2014-02-05,4011.55
2014-02-06,4057.12
2014-02-07,4125.86
2014-02-10,4148.17
2014-02-11,4191.04
2014-02-12,4201.29
2014-02-13,4240.67
2014-02-14,4244.03
2014-02-17,.
2014-02-18,4272.78
2014-02-19,4237.95
2014-02-20,4267.55
2014-02-21,4263.41
2014-02-24,4292.97
2014-02-25,4287.59
2014-02-26,4292.06
2014-02-27,4318.93
2014-02-28,4308.12
2014-03-03,4277.30
2014-03-04,4351.97
2014-03-05,4357.97
2014-03-06,4352.13
2014-03-07,4336.22
2014-03-10,4334.45
2014-03-11,4307.19
2014-03-12,4323.33
2014-03-13,4260.42
2014-03-14,4245.40
2014-03-17,4279.95
2014-03-18,4333.31
2014-03-19,4307.60
2014-03-20,4319.29
2014-03-21,4276.79
2014-03-24,4226.39
2014-03-25,4234.27
2014-03-26,4173.58
2014-03-27,4151.23
2014-03-28,4155.76
2014-03-31,4198.99
2014-04-01,4268.04
2014-04-02,4276.46
2014-04-03,4237.74
2014-04-04,4127.73
2014-04-07,4079.75
2014-04-08,4112.99
2014-04-09,4183.90
2014-04-10,4054.11
2014-04-11,3999.73
2014-04-14,4022.69
2014-04-15,4034.16
2014-04-16,4086.23
2014-04-17,4095.52
2014-04-18,.
2014-04-21,4121.55
2014-04-22,4161.46
2014-04-23,4126.97
2014-04-24,4148.34
2014-04-25,4075.56
2014-04-28,4074.40
2014-04-29,4103.54
2014-04-30,4114.56
2014-05-01,4127.45
2014-05-02,4123.90
2014-05-05,4138.06
2014-05-06,4080.76
2014-05-07,4067.67
2014-05-08,4051.50
2014-05-09,4071.87
2014-05-12,4143.86
2014-05-13,4130.17
2014-05-14,4100.63
2014-05-15,4069.29
2014-05-16,4090.59
2014-05-19,4125.82
2014-05-20,4096.89
2014-05-21,4131.54
2014-05-22,4154.34
2014-05-23,4185.81
2014-05-26,.
2014-05-27,4237.07
2014-05-28,4225.07
2014-05-29,4247.95
2014-05-30,4242.62
2014-06-02,4237.20
2014-06-03,4234.08
2014-06-04,4251.64
2014-06-05,4296.23
2014-06-06,4321.40
2014-06-09,4336.24
2014-06-10,4338.00
2014-06-11,4331.93
2014-06-12,4297.63
2014-06-13,4310.65
2014-06-16,4321.11
2014-06-17,4337.23
2014-06-18,4362.84
2014-06-19,4359.33
2014-06-20,4368.04
2014-06-23,4368.68
2014-06-24,4350.36
2014-06-25,4379.76
2014-06-26,4379.05
2014-06-27,4397.93
2014-06-30,4408.18
2014-07-01,4458.65
2014-07-02,4457.73
2014-07-03,4485.93
2014-07-04,.
2014-07-07,4451.53
2014-07-08,4391.46
2014-07-09,4419.03
2014-07-10,4396.20
2014-07-11,4415.49
2014-07-14,4440.42
2014-07-15,4416.39
2014-07-16,4425.97
2014-07-17,4363.45
2014-07-18,4432.15
2014-07-21,4424.70
2014-07-22,4456.02
2014-07-23,4473.70
2014-07-24,4472.11
2014-07-25,4449.56
2014-07-28,4444.91
2014-07-29,4442.70
2014-07-30,4462.90
2014-07-31,4369.77
2014-08-01,4352.64
2014-08-04,4383.89
2014-08-05,4352.84
2014-08-06,4355.05
2014-08-07,4334.97
2014-08-08,4370.90
2014-08-11,4401.33
2014-08-12,4389.25
2014-08-13,4434.13
2014-08-14,4453.00
2014-08-15,4464.93
2014-08-18,4508.31
2014-08-19,4527.51
2014-08-20,4526.48
2014-08-21,4532.10
2014-08-22,4538.55
2014-08-25,4557.35
2014-08-26,4570.64
2014-08-27,4569.62
2014-08-28,4557.70
2014-08-29,4580.27
2014-09-01,.
2014-09-02,4598.19
2014-09-03,4572.57
2014-09-04,4562.29
2014-09-05,4582.90
2014-09-08,4592.29
2014-09-09,4552.29
2014-09-10,4586.52
2014-09-11,4591.81
2014-09-12,4567.60
2014-09-15,4518.90
2014-09-16,4552.76
2014-09-17,4562.19
2014-09-18,4593.43
2014-09-19,4579.79
2014-09-22,4527.69
2014-09-23,4508.69
2014-09-24,4555.22
2014-09-25,4466.75
2014-09-26,4512.19
2014-09-29,4505.85
2014-09-30,4493.39
2014-10-01,4422.09
2014-10-02,4430.20
2014-10-03,4475.62
2014-10-06,4454.80
2014-10-07,4385.20
2014-10-08,4468.59
2014-10-09,4378.34
2014-10-10,4276.24
2014-10-13,4213.66
2014-10-14,4227.17
2014-10-15,4215.32
2014-10-16,4217.39
2014-10-17,4258.44
2014-10-20,4316.07
2014-10-21,4419.48
2014-10-22,4382.85
2014-10-23,4452.79
2014-10-24,4483.72
2014-10-27,4485.93
2014-10-28,4564.29
2014-10-29,4549.23
2014-10-30,4566.14
2014-10-31,4630.74
2014-11-03,4638.91
2014-11-04,4623.64
2014-11-05,4620.72
2014-11-06,4638.47
2014-11-07,4632.53
2014-11-10,4651.62
2014-11-11,4660.56
2014-11-12,4675.13
2014-11-13,4680.14
2014-11-14,4688.54
2014-11-17,4671.00
2014-11-18,4702.44
2014-11-19,4675.71
2014-11-20,4701.87
2014-11-21,4712.97
2014-11-24,4754.89
2014-11-25,4758.25
2014-11-26,4787.32
2014-11-27,.
2014-11-28,4791.63
2014-12-01,4727.35
2014-12-02,4755.81
2014-12-03,4774.47
2014-12-04,4769.44
2014-12-05,4780.76
2014-12-08,4740.69
2014-12-09,4766.47
2014-12-10,4684.03
2014-12-11,4708.16
2014-12-12,4653.60
2014-12-15,4605.16
2014-12-16,4547.83
2014-12-17,4644.31
2014-12-18,4748.40
2014-12-19,4765.38
2014-12-22,4781.42
2014-12-23,4765.42
2014-12-24,4773.47
2014-12-25,.
2014-12-26,4806.86
2014-12-29,4806.91
2014-12-30,4777.44
2014-12-31,4736.05
2015-01-01,.
2015-01-02,4726.81
2015-01-05,4652.57
2015-01-06,4592.74
2015-01-07,4650.47
2015-01-08,4736.19
2015-01-09,4704.07
2015-01-12,4664.71
2015-01-13,4661.50
2015-01-14,4639.32
2015-01-15,4570.82
2015-01-16,4634.38
2015-01-19,.
2015-01-20,4654.85
2015-01-21,4667.42
2015-01-22,4750.40
2015-01-23,4757.88
2015-01-26,4771.76
2015-01-27,4681.50
2015-01-28,4637.99
2015-01-29,4683.41
2015-01-30,4635.24
2015-02-02,4676.69
2015-02-03,4727.74
2015-02-04,4716.70
2015-02-05,4765.10
2015-02-06,4744.40
2015-02-09,4726.01
2015-02-10,4787.64
2015-02-11,4801.18
2015-02-12,4857.61
2015-02-13,4893.84
2015-02-16,.
2015-02-17,4899.27
2015-02-18,4906.36
2015-02-19,4924.70
2015-02-20,4955.97
2015-02-23,4960.97
2015-02-24,4968.12
2015-02-25,4967.14
2015-02-26,4987.89
2015-02-27,4963.53
2015-03-02,5008.10
2015-03-03,4979.90
2015-03-04,4967.14
2015-03-05,4982.81
2015-03-06,4927.37
2015-03-09,4942.44
2015-03-10,4859.79
2015-03-11,4849.94
2015-03-12,4893.29
2015-03-13,4871.76
2015-03-16,4929.51
2015-03-17,4937.43
2015-03-18,4982.83
2015-03-19,4992.38
2015-03-20,5026.42
2015-03-23,5010.97
2015-03-24,4994.73
2015-03-25,4876.52
2015-03-26,4863.36
2015-03-27,4891.22
2015-03-30,4947.44
2015-03-31,4900.89
2015-04-01,4880.23
2015-04-02,4886.94
2015-04-03,.
2015-04-06,4917.32
2015-04-07,4910.23
2015-04-08,4950.82
2015-04-09,4974.56
2015-04-10,4995.98
2015-04-13,4988.25
2015-04-14,4977.29
2015-04-15,5011.02
2015-04-16,5007.79
2015-04-17,4931.81
2015-04-20,4994.60
2015-04-21,5014.10
2015-04-22,5035.17
2015-04-23,5056.06
2015-04-24,5092.08
2015-04-27,5060.25
2015-04-28,5055.42
2015-04-29,5023.64
2015-04-30,4941.42
2015-05-01,5005.39
2015-05-04,5016.93
2015-05-05,4939.33
2015-05-06,4919.64
2015-05-07,4945.54
2015-05-08,5003.55
2015-05-11,4993.57
2015-05-12,4976.19
2015-05-13,4981.69
2015-05-14,5050.80
2015-05-15,5048.29
2015-05-18,5078.44
2015-05-19,5070.03
2015-05-20,5071.74
2015-05-21,5090.79
2015-05-22,5089.36
2015-05-25,.
2015-05-26,5032.75
2015-05-27,5106.59
2015-05-28,5097.98
2015-05-29,5070.03
2015-06-01,5082.93
2015-06-02,5076.52
2015-06-03,5099.23
2015-06-04,5059.12
2015-06-05,5068.46
2015-06-08,5021.63
2015-06-09,5013.87
2015-06-10,5076.69
2015-06-11,5082.51
2015-06-12,5051.10
2015-06-15,5029.97
2015-06-16,5055.55
2015-06-17,5064.88
2015-06-18,5132.95
2015-06-19,5117.00
2015-06-22,5153.97
2015-06-23,5160.09
2015-06-24,5122.41
2015-06-25,5112.19
2015-06-26,5080.51
2015-06-29,4958.47
2015-06-30,4986.87
2015-07-01,5013.12
2015-07-02,5009.21
2015-07-03,.
2015-07-06,4991.94
2015-07-07,4997.46
2015-07-08,4909.76
2015-07-09,4922.40
2015-07-10,4997.70
2015-07-13,5071.51
2015-07-14,5104.89
